"addr_state","No of loans"
"AK",454
"AL",2286
"AR",1379
"AZ",4640
"CA",28219
"CO",4494
"CT",2820
"DC",572
"DE",528
"FL",12964
"GA",6195
"HI",966
"IA",1
"IL",7657
"IN",3244
"KS",1713
"KY",1827
"LA",2138
"MA",4299
"MD",4436
"ME",37
"MI",5080
"MN",3414
"MO",2929
"MS",986
"MT",586
"NC",5089
"ND",75
"NE",252
"NH",983
"NJ",6893
"NM",1078
"NV",2655
"NY",15550
"OH",6248
"OK",1621
"OR",2538
"PA",6511
"RI",840
"SC",2352
"SD",403
"TN",2961
"TX",15671
"UT",1480
"VA",5370
"VT",441
"WA",4368
"WI",2620
"WV",932
"WY",469
