"addr_state","loans_vol"
"AK","96"
"AL","662"
"AR","337"
"AZ","1049"
"CA","7332"
"CO","784"
"CT","614"
"DC","87"
"DE","121"
"FL","3524"
"GA","1360"
"HI","276"
"IA","1"
"ID","1"
"IL","1542"
"IN","626"
"KS","356"
"KY","436"
"LA","566"
"MA","1017"
"MD","1100"
"MI","1150"
"MN","803"
"MO","781"
"MS","86"
"MT","95"
"NC","1306"
"NE","4"
"NH","157"
"NJ","1841"
"NM","269"
"NV","803"
"NY","4124"
"OH","1472"
"OK","421"
"OR","544"
"PA","1557"
"RI","191"
"SC","449"
"SD","90"
"TN","563"
"TX","3035"
"UT","349"
"VA","1438"
"VT","70"
"WA","986"
"WI","536"
"WV","159"
"WY","82"
