"loan_status","emp_length","number"
"Charged Off","1 year","2964"
"Charged Off","10+ years","13133"
"Charged Off","2 years","4033"
"Charged Off","3 years","3534"
"Charged Off","4 years","2775"
"Charged Off","5 years","3203"
"Charged Off","6 years","2695"
"Charged Off","7 years","2602"
"Charged Off","8 years","2154"
"Charged Off","9 years","1777"
"Charged Off","< 1 year","3853"
"Fully Paid","1 year","13892"
"Fully Paid","10+ years","63748"
"Fully Paid","2 years","19528"
"Fully Paid","3 years","16846"
"Fully Paid","4 years","13422"
"Fully Paid","5 years","14856"
"Fully Paid","6 years","12058"
"Fully Paid","7 years","11483"
"Fully Paid","8 years","9695"
"Fully Paid","9 years","7790"
"Fully Paid","< 1 year","17034"
